"";"age";"primary_fur_color";"activity";"counts"
"1";"Adult";"Black";"running";25
"2";"Adult";"Black";"chasing";5
"3";"Adult";"Black";"climbing";23
"4";"Adult";"Black";"eating";21
"5";"Adult";"Black";"foraging";40
"6";"Adult";"Cinnamon";"running";86
"7";"Adult";"Cinnamon";"chasing";25
"8";"Adult";"Cinnamon";"climbing";65
"9";"Adult";"Cinnamon";"eating";88
"10";"Adult";"Cinnamon";"foraging";182
"11";"Adult";"Gray";"running";513
"12";"Adult";"Gray";"chasing";195
"13";"Adult";"Gray";"climbing";456
"14";"Adult";"Gray";"eating";524
"15";"Adult";"Gray";"foraging";1046
